phase	lane	arm	source_arm	desc	model_params	raw_bpb	int6_sw_bpb	step_ms	bytes	gptq_layers	gptq_cal_sec	delta_vs_control	log	ckpt
RAPID	WINDOW	BW17DGX-00	BW17DGX-00	control: 9F, 1 crawler layer, loops=3, inst=32, rope=(9,1,1), smear=0	26270292	3.3592	3.39016331	3642.05	4809060	0	-	+0.000000	/home/frosty40/parameter-golf-lab/crawler/2026-04-02_BW17_DGXSpark_Cadence_Longform/results/BW17DGX-00_s444_20260402_014348.log	/home/frosty40/parameter-golf-lab/crawler/2026-04-02_BW17_DGXSpark_Cadence_Longform/results/BW17DGX-00_s444_20260402_014348.final_model.pt
RAPID	WINDOW	BW17DGX-01	BW17DGX-01	cadence down: loops=2	26253908	3.3087	3.33638242	3280.07	4828253	0	-	-0.053781	/home/frosty40/parameter-golf-lab/crawler/2026-04-02_BW17_DGXSpark_Cadence_Longform/results/BW17DGX-01_s444_20260402_014348.log	/home/frosty40/parameter-golf-lab/crawler/2026-04-02_BW17_DGXSpark_Cadence_Longform/results/BW17DGX-01_s444_20260402_014348.final_model.pt
